,item_id,disc_0,diff,margin,kappa
0,q8,4.0256586,0.7417917,0.1288678,0.8958004
1,q9,3.9651968,1.7472367,0.059095494,0.70874524
2,q21,3.7428281,1.0219831,0.1031334,0.82655823
3,q29,2.7480092,-1.080708,0.15376753,0.80057204
4,q30,4.081688,-0.24992222,0.21302563,0.9600461
5,q34,3.9003494,1.5895771,0.06720412,0.7362602
6,q45,4.1315455,1.4818488,0.07466871,0.7909187
7,q46,4.0086646,-1.0462517,0.23244506,0.9622433
8,q54,3.914815,-0.12167156,0.19848683,0.94680613
9,q62,2.541604,-1.622595,0.11599457,0.69065416
10,q68,4.2050653,-0.5836054,0.23629984,0.97093374
11,q80,1.9989408,-1.0921847,0.1070047,0.57416487
12,q89,3.2530174,1.2606655,0.081460565,0.70499015
13,q101,3.374238,0.0139616355,0.17081293,0.89273477
14,q102,3.529602,-0.8382392,0.20628014,0.928729
15,q104,3.488995,0.03379924,0.17354228,0.9042785
16,q118,3.5395017,1.2025404,0.0882867,0.7650559
17,q129,4.018819,1.3512048,0.08235708,0.8026999
18,q131,2.3231978,1.1326305,0.07395783,0.52725923
19,q132,3.236672,-0.19638495,0.17671546,0.886641
20,q142,2.0845797,0.9387211,0.07777774,0.4991023
21,q145,1.8952495,-1.4200542,0.08880854,0.4953711
22,q160,2.7742944,1.1475265,0.08151584,0.6334051
23,q161,2.0290513,1.4314362,0.054823585,0.38850754
24,q172,3.934553,-0.08350631,0.19641843,0.9466954
25,q5,2.6378024,-0.8606652,0.15269893,0.7857824
26,q6,3.3566163,0.2905702,0.15168326,0.8700234
27,q7,2.1520336,-0.5574959,0.12681073,0.65796196
28,q11,2.404742,-0.32678682,0.13994312,0.73100257
29,q19,4.1283684,0.7817197,0.12671593,0.9004153
30,q20,4.157251,0.6824841,0.1357114,0.9130414
31,q26,2.8317988,-0.08407004,0.15415785,0.8169189
32,q27,2.605219,-1.1641244,0.14181238,0.759895
33,q41,1.736233,-1.7262769,0.06816965,0.38789427
34,q61,3.2317245,-0.7309023,0.18934944,0.89590466
35,q72,3.3058958,-0.9998042,0.19085291,0.9015752
36,q85,2.8744512,-1.3203588,0.15202206,0.8118036
37,q91,4.285043,1.5242599,0.072745934,0.80105454
38,q114,3.9671907,0.5476256,0.14475654,0.9102602
39,q123,0.9857677,-1.3807123,0.042589843,0.16081804
40,q126,3.6092257,0.35398707,0.15358588,0.8937889
41,q128,2.722021,-0.05022707,0.14791414,0.79300916
42,q146,2.8947096,0.74077016,0.10887194,0.7366925
43,q148,4.0417967,1.3856299,0.08025454,0.7988902
44,q155,2.026888,0.22424158,0.106693536,0.58421457
