,Advtype_Commonsense Knowledge,Advtype_Composing Seen Clues,Advtype_Crosslingual,Advtype_Domain Expert Knowledge,Advtype_Location Misalignment,Advtype_Logic & Calculation,Advtype_Multi-Step Reasoning,Advtype_Negation,Advtype_Novel Clues,Advtype_Temporal Misalignment,category_Art,category_Geography,category_History,category_Lifestyle,category_Literature,category_Miscellaneous,category_Music,category_Science,category_Sport,category_TV and Film
0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
1,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
3,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
4,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
5,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
6,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
7,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
8,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
9,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
10,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
11,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
12,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
13,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
14,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
15,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
16,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
17,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
18,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
19,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
20,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
21,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
22,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
23,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
24,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
25,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
26,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
27,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
28,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
29,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
30,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
31,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
32,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
33,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
34,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
35,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
36,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
37,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
38,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
39,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
40,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
41,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
42,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
43,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
44,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
45,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
46,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
47,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
48,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
49,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
50,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
51,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
52,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
53,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
54,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
55,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
56,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
57,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
58,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
59,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False
60,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
61,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
62,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
63,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
64,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
65,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
66,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
67,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
68,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
69,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
70,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
