,item_id,disc_0,diff,margin,kappa,question_id_num,adv_score
57,q1,4.151107,1.4107773,-0.024809977,0.37677872,1,-0.03415785
80,q2,3.9362383,0.5588115,-0.053320445,0.5653304,2,-0.083464116
97,q3,4.4140863,0.916915,-0.037235547,0.50269413,3,-0.055953637
25,q4,2.4157138,-0.9441343,-0.09361026,0.68933594,4,-0.15813917
0,q5,4.0466313,0.7934975,-0.043447495,0.5142606,5,-0.065790825
1,q6,2.4217572,-0.9546493,-0.093876034,0.69159496,6,-0.15880023
44,q7,2.8088603,-1.1886319,-0.10895923,0.7824769,7,-0.19421731
88,q8,4.443971,1.0644355,-0.032510005,0.46942967,8,-0.047771167
70,q9,0.76705277,-1.746866,-0.018764555,0.09819293,9,-0.020607103
26,q10,4.287527,0.25936896,-0.06537959,0.654003,10,-0.10813804
89,q11,4.338425,1.1962926,-0.029335603,0.43400908,11,-0.04206752
58,q12,3.8274624,0.61297655,-0.051516823,0.5460535,12,-0.079647765
90,q13,3.2516484,-0.63195646,-0.1094504,0.7679806,13,-0.19350618
27,q14,4.0893874,-0.3596928,-0.10137534,0.77627826,14,-0.18007082
71,q15,4.232782,0.39728558,-0.058991216,0.6190964,15,-0.095512465
98,q16,4.221049,-0.030624866,-0.081444174,0.7161379,16,-0.13976943
59,q17,2.8410072,-1.0799117,-0.10967088,0.7774147,17,-0.19493063
45,q18,4.4117727,0.5553202,-0.050809268,0.5892395,18,-0.080748096
46,q19,4.3760667,0.483729,-0.054146335,0.6048466,19,-0.08689656
91,q20,3.756765,0.11336145,-0.075271934,0.6604637,20,-0.12498631
47,q21,4.333564,0.26558578,-0.06477296,0.65453875,21,-0.107169375
114,q22,1.4581308,-1.100322,-0.053669274,0.39622837,22,-0.07493456
2,q23,4.0347023,0.52206177,-0.05443208,0.57946813,23,-0.08597373
72,q24,3.8119278,0.10466018,-0.07559594,0.6656871,24,-0.12591918
3,q25,4.3457766,1.0306602,-0.03400449,0.4726506,25,-0.05007673
99,q26,3.3417413,-0.41239792,-0.10108361,0.73905027,26,-0.17578948
73,q27,2.8106513,-0.99133,-0.10779145,0.76393986,27,-0.19013764
4,q28,2.2949939,-1.0831604,-0.08894047,0.6735679,28,-0.14884792
107,q29,4.337429,1.2260644,-0.028558206,0.4272024,29,-0.04075834
5,q30,2.6991806,-1.4235632,-0.102956235,0.7801811,30,-0.18328075
48,q31,4.2984467,0.3210178,-0.062243335,0.64007604,31,-0.1020838
100,q32,3.794863,-0.68594563,-0.11885314,0.81614983,32,-0.2158551
60,q33,4.409298,0.8289524,-0.04024578,0.52342427,33,-0.061311398
108,q34,0.9869628,-1.4175475,-0.030314982,0.18933582,34,-0.036054693
6,q35,4.2345715,1.4297643,-0.024077367,0.37696928,35,-0.033153795
104,q36,3.5094893,-0.4453125,-0.10419531,0.7580812,36,-0.18318382
49,q37,0.8978119,-1.7610116,-0.02252686,0.13676113,37,-0.02560766
7,q38,4.2424145,1.0933435,-0.032638576,0.45294756,38,-0.04742214
8,q39,4.1985674,0.0635446,-0.07626958,0.69460213,39,-0.12924659
81,q40,3.933795,0.25341573,-0.067536846,0.6382545,40,-0.110642545
28,q41,4.3883953,1.2055893,-0.028866261,0.43433797,41,-0.041403975
29,q42,0.7322097,-1.527067,-0.02015537,0.098552644,42,-0.022141736
50,q43,4.3471756,1.2623038,-0.027590076,0.41951567,43,-0.039164543
74,q44,3.895709,0.7875808,-0.04436346,0.50751144,44,-0.06687842
30,q45,4.2263203,1.3395619,-0.026188638,0.39623857,45,-0.036565587
31,q46,4.21872,-0.41751894,-0.104727164,0.7924156,46,-0.1877146
101,q47,3.5214865,-0.29150212,-0.0964295,0.730461,47,-0.16686748
115,q48,4.329225,0.7753016,-0.042624325,0.53260636,48,-0.06532631
105,q49,3.6508198,-0.29906788,-0.09738465,0.740766,49,-0.16952388
75,q50,3.991985,1.17541,-0.03137235,0.42093444,50,-0.044578053
