,item_id,disc_0,diff,margin,kappa,question_id_num,adv_score
0,q8,4.0256586,0.7417917,0.1288678,0.8958004,8,0.24430764
1,q9,3.9651968,1.7472367,0.059095494,0.70874524,9,0.10097914
2,q21,3.7428281,1.0219831,0.1031334,0.82655823,21,0.18837917
3,q29,2.7480092,-1.080708,0.15376753,0.80057204,29,0.2768695
4,q30,4.081688,-0.24992222,0.21302563,0.9600461,30,0.41754004
5,q34,3.9003494,1.5895771,0.06720412,0.7362602,34,0.11668383
6,q45,4.1315455,1.4818488,0.07466871,0.7909187,45,0.1337256
7,q46,4.0086646,-1.0462517,0.23244506,0.9622433,46,0.45611376
8,q54,3.914815,-0.12167156,0.19848683,0.94680613,54,0.3864154
9,q62,2.541604,-1.622595,0.11599457,0.69065416,62,0.1961067
10,q68,4.2050653,-0.5836054,0.23629984,0.97093374,68,0.46573132
11,q80,1.9989408,-1.0921847,0.1070047,0.57416487,80,0.16844304
12,q89,3.2530174,1.2606655,0.081460565,0.70499015,89,0.13888946
13,q101,3.374238,0.0139616355,0.17081293,0.89273477,101,0.32330358
14,q102,3.529602,-0.8382392,0.20628014,0.928729,102,0.3978585
15,q104,3.488995,0.03379924,0.17354228,0.9042785,104,0.33047283
16,q118,3.5395017,1.2025404,0.0882867,0.7650559,118,0.15583095
17,q129,4.018819,1.3512048,0.08235708,0.8026999,129,0.1484651
18,q131,2.3231978,1.1326305,0.07395783,0.52725923,131,0.112952776
19,q132,3.236672,-0.19638495,0.17671546,0.886641,132,0.33339864
20,q142,2.0845797,0.9387211,0.07777774,0.4991023,142,0.116596796
21,q145,1.8952495,-1.4200542,0.08880854,0.4953711,145,0.13280173
22,q160,2.7742944,1.1475265,0.08151584,0.6334051,160,0.13314839
23,q161,2.0290513,1.4314362,0.054823585,0.38850754,161,0.07612296
24,q172,3.934553,-0.08350631,0.19641843,0.9466954,172,0.38236684
25,q5,2.6378024,-0.8606652,0.15269893,0.7857824,5,0.27268705
26,q6,3.3566163,0.2905702,0.15168326,0.8700234,6,0.28365126
27,q7,2.1520336,-0.5574959,0.12681073,0.65796196,7,0.21024737
28,q11,2.404742,-0.32678682,0.13994312,0.73100257,11,0.2422419
29,q19,4.1283684,0.7817197,0.12671593,0.9004153,19,0.24081288
30,q20,4.157251,0.6824841,0.1357114,0.9130414,20,0.25962153
31,q26,2.8317988,-0.08407004,0.15415785,0.8169189,26,0.2800923
32,q27,2.605219,-1.1641244,0.14181238,0.759895,27,0.24957491
33,q41,1.736233,-1.7262769,0.06816965,0.38789427,41,0.09461227
34,q61,3.2317245,-0.7309023,0.18934944,0.89590466,61,0.3589885
35,q72,3.3058958,-0.9998042,0.19085291,0.9015752,72,0.36292115
36,q85,2.8744512,-1.3203588,0.15202206,0.8118036,85,0.2754341
37,q91,4.285043,1.5242599,0.072745934,0.80105454,91,0.13101938
38,q114,3.9671907,0.5476256,0.14475654,0.9102602,114,0.27652267
39,q123,0.9857677,-1.3807123,0.042589843,0.16081804,123,0.04943906
40,q126,3.6092257,0.35398707,0.15358588,0.8937889,126,0.29085922
41,q128,2.722021,-0.05022707,0.14791414,0.79300916,128,0.2652114
42,q146,2.8947096,0.74077016,0.10887194,0.7366925,146,0.18907706
43,q148,4.0417967,1.3856299,0.08025454,0.7988902,148,0.1443691
44,q155,2.026888,0.22424158,0.106693536,0.58421457,155,0.16902545
45,q170,3.6769793,-0.60068595,0.21174613,0.9409485,170,0.41098833
46,q179,3.8902092,1.4156007,0.077432066,0.7727998,179,0.13727155
47,q33,2.0464656,0.7646434,0.08479884,0.51802695,33,0.12872693
48,q38,2.2105374,-1.3503093,0.10991299,0.6204142,38,0.17810458
49,q40,2.4706702,-1.6457175,0.11067182,0.66523254,40,0.18429431
50,q48,3.060556,0.37648854,0.1372051,0.81773806,48,0.24940293
51,q51,3.5205042,1.2359493,0.08590123,0.7553828,51,0.15078954
52,q57,3.157514,1.1406196,0.08772428,0.71287453,57,0.15026069
53,q65,3.1323302,-1.1870452,0.17417628,0.86958,65,0.32563648
54,q69,2.709451,-1.5456607,0.13014305,0.74886036,69,0.22760202
55,q87,2.9841585,-1.2917389,0.16029674,0.83672434,87,0.2944209
56,q99,2.3961115,-1.0939683,0.13133132,0.7070792,99,0.22419296
57,q100,2.794424,-0.95737267,0.16025138,0.81708336,100,0.29119012
58,q130,1.9182401,-0.8810819,0.10798001,0.562209,130,0.16868734
59,q137,1.075803,-1.8128016,0.03647548,0.15208149,137,0.042022724
60,q143,3.679297,1.0568084,0.09987785,0.81234,143,0.18101263
61,q144,2.5825355,1.0896298,0.08135817,0.60139155,144,0.13028629
62,q147,2.4889672,-0.37846553,0.1452525,0.75406283,147,0.25478202
63,q156,2.7742443,0.062094532,0.14520577,0.79556566,156,0.26072648
64,q159,4.2229548,0.057513006,0.1934263,0.9574908,159,0.3786302
65,q162,3.042274,0.5307179,0.12639453,0.795787,162,0.22697765
66,q173,3.2415044,0.08842472,0.16152425,0.87119514,173,0.30224338
67,q1,2.7122233,0.58462185,0.114016384,0.72290087,1,0.19643892
68,q16,3.660925,-1.2877634,0.20374852,0.9324923,16,0.39374244
69,q32,2.9828959,0.9030978,0.100165546,0.72589505,32,0.17287523
70,q39,0.9681089,-1.8054463,0.03245175,0.123770595,39,0.03646832
71,q93,3.378933,-0.13235605,0.17945132,0.9009728,93,0.34113207
72,q98,2.1393828,-0.26511496,0.124655664,0.6518113,98,0.20590764
73,q103,3.6405196,0.6789693,0.12826042,0.8632813,103,0.23898524
74,q106,4.0665164,0.41921565,0.15783109,0.92849654,106,0.30437672
75,q115,1.7040228,-0.8370199,0.09589332,0.48229718,115,0.1421424
76,q127,0.7828229,-1.7161318,0.027053058,0.085176766,127,0.029357348
77,q133,2.737637,1.0182879,0.08838014,0.6520735,133,0.14601049
78,q149,1.7279207,-0.3774827,0.102113426,0.50807405,149,0.1539946
79,q151,3.5184445,1.037096,0.09938635,0.79302645,151,0.17820235
80,q152,3.114318,1.5307106,0.06477416,0.6163987,152,0.10470087
81,q166,2.782978,1.2037712,0.078463264,0.62315494,166,0.12735803
82,q4,1.6667475,-1.5305071,0.072205484,0.39093637,4,0.10043323
83,q15,4.2065797,0.89158994,0.118226126,0.89450735,15,0.22398028
84,q22,4.276615,1.576154,0.06962152,0.7894125,22,0.12458161
85,q25,2.4014256,0.3437142,0.11703694,0.6807461,25,0.19670938
86,q37,3.2998981,-1.1725458,0.18535304,0.8953104,37,0.35130155
87,q59,3.7960064,-0.38789436,0.20967203,0.94637674,59,0.40810078
