,item_id,disc_0,diff,margin,kappa,question_id_num,adv_score
0,q2,0.8844996,-0.9671104,-0.11886418,0.1090675,2,-0.1318284
1,q20,0.097036175,-0.28704852,-0.026530862,0.0022765398,20,-0.02659126
2,q42,0.3230305,0.55864817,-0.09015408,0.02415353,42,-0.09233162
3,q57,0.19063327,-0.025158804,-0.053404212,0.008893192,57,-0.05387915
4,q67,0.66362154,-0.10070686,-0.1619572,0.0879243,67,-0.17619717
5,q68,0.0687158,0.6049131,-0.018157423,0.0010891557,68,-0.018177198
6,q69,0.5701964,-0.63211554,-0.11470789,0.059702992,69,-0.12155629
7,q70,0.3398683,-0.6171292,-0.07718629,0.023707151,70,-0.07901616
8,q71,0.040148348,0.7698133,-0.009999394,0.0003514886,71,-0.010002908
9,q72,0.054783776,1.0353006,-0.0123334825,0.0005887747,72,-0.012340744
10,q73,0.024469465,0.43127927,-0.0066625476,0.00014334917,73,-0.006663502
11,q74,0.07186343,-0.02559856,-0.02033645,0.0012865067,74,-0.020362612
12,q75,0.019848976,0.33031076,-0.005497664,9.602308e-05,75,-0.0054981923
13,q76,0.08869541,-0.37936893,-0.023827732,0.0018719435,76,-0.023872336
14,q77,0.015333942,1.0752227,-0.003325671,4.476309e-05,77,-0.00332582
15,q78,0.027139196,0.9013725,-0.006397456,0.00015223026,78,-0.0063984296
16,q79,0.20643538,0.3249397,-0.058297575,0.010343552,79,-0.05890058
17,q80,0.34091252,-0.24136584,-0.08872181,0.026398957,80,-0.09106397
18,q81,1.0034196,-0.29916075,-0.19080436,0.1591708,81,-0.22117485
19,q82,0.29318044,-0.258774,-0.07698923,0.019805849,82,-0.07851408
20,q1,0.035407465,-0.34295413,-0.009693503,0.00030308962,1,-0.009696441
21,q3,0.4744209,-0.23168604,-0.11858386,0.048352957,3,-0.124317735
22,q4,0.92914754,-0.4609498,-0.16825873,0.13747638,4,-0.19139034
23,q5,0.942896,-0.4609294,-0.16940093,0.14048868,5,-0.19319983
24,q6,0.8101163,-0.23652102,-0.17561328,0.117589235,6,-0.19626352
25,q7,0.9168125,-0.23471476,-0.18871886,0.14153808,7,-0.21542977
26,q8,0.23261859,0.28586477,-0.065853685,0.013126314,8,-0.0667181
