,item_id,disc_0,diff,margin,kappa,question_id_num,adv_score
0,q1,1.2744765,0.35704172,0.20875871,0.23027843,1,0.25683135
1,q2,0.8025905,0.33626086,0.16818774,0.12242693,2,0.18877846
2,q3,1.4902133,-0.2794314,0.1364708,0.24083543,3,0.1693378
3,q4,0.906328,-0.14164084,0.14570248,0.13383013,4,0.16520186
4,q5,1.1106173,0.6731005,0.22751594,0.20233375,5,0.27355006
5,q6,1.4453192,-0.18497409,0.14768577,0.23800081,6,0.1828351
6,q7,0.6793703,-1.5888482,0.04773444,0.048640728,7,0.05005628
7,q8,0.6365392,0.54916716,0.1467351,0.084811985,8,0.15917999
8,q9,0.025928533,1.2625675,0.0042788982,0.00011652708,9,0.004279397
9,q10,0.11883305,-0.03012206,0.027783573,0.0034926534,10,0.027880609
10,q11,0.71050453,0.84817713,0.16587612,0.10129982,11,0.18267933
11,q12,0.5010208,-0.15217862,0.10157859,0.052657843,12,0.1069275
12,q13,0.3733426,-1.8990293,0.02768606,0.01380384,13,0.028068233
13,q14,1.5218346,-0.60965425,0.104299486,0.22610992,14,0.12788264
14,q15,0.50282156,-1.869188,0.033465922,0.024469972,15,0.034284834
15,q16,1.3327923,-1.2607124,0.06338674,0.15126455,16,0.072974905
16,q17,0.9202372,0.012831564,0.15890092,0.14172632,17,0.18142135
17,q18,1.3870084,-1.2456914,0.06319207,0.16064966,18,0.07334385
18,q19,1.44463,-0.652351,0.103006184,0.20974362,19,0.12461107
19,q20,1.0106902,0.032346237,0.16624981,0.16180742,20,0.19315027
20,q21,1.0671136,-0.12381501,0.15446532,0.16756958,21,0.18034902
21,q22,1.1592968,0.20447326,0.1891787,0.19997066,22,0.22700891
22,q23,0.68579113,1.2154888,0.15538552,0.08986539,23,0.16934931
23,q24,0.7107555,1.071843,0.16466326,0.09870112,24,0.1809157
24,q25,1.0986211,0.20951936,0.1869492,0.18702227,25,0.22191285
25,q26,0.8040079,-0.46880218,0.1151225,0.10266006,26,0.12694098
26,q27,1.3278575,-1.1888283,0.067603886,0.1551193,27,0.078090556
27,q28,1.6931264,-0.65737337,0.09430301,0.25288898,28,0.118151195
28,q29,0.95870084,-0.75741595,0.099196196,0.118932545,29,0.11099385
29,q30,0.7263868,1.0268466,0.16900998,0.103343666,30,0.18647611
30,q31,0.77093905,1.0203197,0.17962903,0.11495888,31,0.20027898
31,q32,1.0456512,0.43808234,0.20307708,0.18176699,32,0.23998979
32,q33,0.71947604,1.1902044,0.1646125,0.098861575,33,0.18088636
33,q34,1.091312,0.32952192,0.19750267,0.18929702,34,0.23488933
34,q35,0.9182308,-0.0776691,0.1515559,0.13843411,35,0.17253642
35,q36,1.2078457,-0.2705,0.14232689,0.18856639,36,0.16916497
36,q37,1.2720453,0.4033103,0.21365249,0.23149109,37,0.26311114
37,q38,1.0763614,-0.5029048,0.120651245,0.15199459,38,0.13898958
38,q39,1.7297201,-0.6782809,0.09126192,0.2578137,39,0.1147905
39,q40,0.93380517,0.85994554,0.21180496,0.15915483,40,0.24551475
40,q41,1.6516143,-0.39305115,0.11922908,0.2627585,41,0.15055753
41,q42,0.41564524,1.3645481,0.08226013,0.031371236,42,0.08484074
42,q43,1.3237374,0.66677177,0.24356663,0.2515564,43,0.30483738
43,q44,1.2809389,-1.128481,0.07208866,0.15155542,44,0.083014086
44,q45,0.44581965,1.4010807,0.088252276,0.03570634,45,0.09140344
45,q46,1.6266236,-0.8409869,0.08269161,0.22867692,46,0.10160127
46,q47,1.1253324,-0.3740444,0.13235784,0.1675579,47,0.15453544
47,q48,1.4122957,-1.2405177,0.062965214,0.16496414,48,0.07335222
48,q49,0.4545356,1.4027743,0.090296715,0.03714019,49,0.09365035
49,q50,0.88245505,0.70619386,0.19748852,0.14545006,50,0.22621325
50,q51,1.4464818,-0.9789143,0.07828289,0.18837261,51,0.093029246
51,q52,1.2255695,0.41082954,0.2126661,0.22173327,52,0.25982127
52,q53,1.2650734,0.29126456,0.2014206,0.22574598,53,0.24689049
53,q54,1.1798168,-0.06932385,0.1621322,0.19279653,54,0.19339073
54,q55,1.4200945,-1.1820347,0.0661391,0.1701777,55,0.0773945
55,q56,1.1390425,0.55709237,0.2209776,0.20655769,56,0.26662225
56,q57,1.2342134,-0.6660145,0.106304824,0.17174596,57,0.124562256
57,q58,0.26807356,1.6807381,0.041441813,0.010608852,58,0.041881464
58,q59,1.3840758,-0.92043215,0.083831966,0.1817975,59,0.09907241
59,q60,1.1044048,0.255468,0.19154137,0.18985271,60,0.22790602
60,q61,0.5425458,0.9912505,0.12419936,0.060353518,61,0.13169523
61,q62,0.82607687,0.7856473,0.18949291,0.13105965,62,0.21432778
62,q63,1.2156496,0.84020805,0.2510934,0.23092908,63,0.30907816
63,q64,1.0279628,-0.5349647,0.11744362,0.14152515,64,0.13406485
64,q65,0.040707134,1.160404,0.0071579665,0.00030469894,65,0.0071601477
65,q66,0.009837571,-0.7020934,0.0020466447,2.1398067e-05,66,0.0020466887
66,q67,0.763622,0.67033386,0.17463452,0.11531377,67,0.19477227
67,q68,0.5609519,-0.15479912,0.11033219,0.06372613,68,0.117363244
68,q69,1.021375,-0.59029275,0.11285424,0.13771075,69,0.1283955
69,q70,0.94035065,-0.47954732,0.120063126,0.12774229,70,0.13540027
70,q71,1.0144097,-0.9086144,0.088906765,0.121139765,71,0.09967691
71,q72,1.3517418,-1.2006707,0.06645721,0.15809834,72,0.07696398
72,q73,1.3144288,-1.2480247,0.064427435,0.14925498,73,0.07404356
73,q74,1.7343488,0.022930585,0.16021705,0.30097407,74,0.20843823
74,q75,0.5176588,1.2759442,0.1103442,0.050846815,75,0.11595485
75,q76,1.3669133,-1.293969,0.06092596,0.1543405,76,0.0703293
76,q77,0.2002698,1.6722295,0.029577583,0.005792856,77,0.029748922
77,q78,1.2450215,-1.1310434,0.07250911,0.1457454,78,0.083076976
78,q79,0.14670783,0.55579376,0.03340164,0.005042851,79,0.033570077
79,q80,0.8086794,0.93305975,0.18807778,0.12578773,80,0.21173565
80,q81,0.1109329,-0.2137928,0.025349498,0.0029964447,81,0.025425456
81,q82,1.305282,-1.219659,0.066209674,0.1496417,82,0.076117404
82,q83,1.8208632,-0.73508704,0.08348143,0.26962817,83,0.10599037
83,q84,1.2852807,-1.1993647,0.06773579,0.14782095,84,0.07774856
84,q85,0.64357686,1.2951783,0.14206183,0.07795471,85,0.15313622
85,q86,0.79188263,1.2337657,0.18193123,0.11700958,86,0.20321894
86,q87,0.5161376,1.3359003,0.10790619,0.049495578,87,0.113247074
87,q88,1.6359721,-0.53031105,0.107188225,0.25132954,88,0.1341278
88,q89,1.6801072,-0.06082857,0.15298492,0.2870971,89,0.19690645
89,q90,0.15699515,0.051397093,0.036799073,0.006071925,90,0.037022516
90,q91,0.6293752,0.9394563,0.14645886,0.08059609,91,0.15826288
91,q92,0.26209033,-1.3368273,0.033084452,0.0102523565,92,0.033423647
92,q93,1.3530836,-1.2737335,0.062291026,0.15354043,93,0.07185521
93,q94,1.0171746,0.7908111,0.22283483,0.18057299,94,0.2630728
94,q95,0.7835822,1.1104735,0.18190202,0.11700487,95,0.20318544
95,q96,1.56759,-0.4939777,0.11297518,0.24162358,96,0.14027265
96,q97,0.53062385,1.2982215,0.112881154,0.053046107,97,0.11886906
